,"d__ VERB

[WITH OBJECT]
1Treat (a sacred place or thing) with violent disrespect.
‘more than 300 graves were __d’
1.1 Spoil (something which is valued or respected)
‘many lanes are __d with yellow lines’",3/10/2019,desecrate,,,
,"NOUN

A poplar tree with small rounded long-stalked leaves that tremble in the breeze.
Genus Populus, family Salicaceae: several species, in particular the European P. tremula and the North American quaking ___ (P. tremuloides)
ヤマナラシ",3/14/2019,aspen,,,
,"___ someone/something out (or ___)
Provide someone or something with the necessary equipment, clothes, or other items for a particular situation.
‘the cabin had been __d out to a high standard’

___ someone ___
Incriminate someone by falsifying evidence against them.",3/15/2019,fit up,,,
3,"NOUN

British 
Law 
A plaintiff in certain lawsuits.
‘The judge then questioned the ___, asking questions upon the topics which he had been asked to.’",3/10/2019,complainant,,,
2,"NOUN

1A minor wrongdoing.
‘the player can expect a suspension for his latest ___’
2Law 
A non-indictable offence, regarded in the US (and formerly in the UK) as less serious than a felony.
‘he pleaded guilty to __s’",,misdemeanour,"
(US misdemeanor)",,
,"VERB

[WITH OBJECT]
1Drive, force, or urge (someone) to do something.
‘financial difficulties __d him to desperate measures’
with object and infinitive ‘a lack of equality __d the oppressed to fight’
1.1 Drive forward; propel.
‘vital energies ___ him in unforeseen directions’",3/17/2019,impel,,,
0 11,"c__ NOUN

A person with whom one shares a secret or private matter, trusting them not to repeat it to others.
‘a close ___ of the princess’",3/18/2019,confidant,,,
11,"d__l NOUN

literary, archaic 
A young unmarried woman.
‘He said: ‘They really enjoyed becoming knights on horseback and medieval __s.’’
‘He had heard it said that her innocent demeanour combined with her intelligent mind made her a refreshing change from mindlessly demure __s.’",3/21/2019,damsel,,,
1,"ADJECTIVE

1(of an offence) rendering the person who commits it liable to be charged with a serious crime that warrants a trial by jury.
‘company law contains a total of 138 ___ offences’
1.1 (of a person) liable to be charged with a crime.
‘many more ___ offenders are tried and convicted’",3/13/2019,indictable,,/ɪnˈdʌɪtəb(ə)l/,
0 0,"VERB

[WITH OBJECT]
Hand over (a person accused or convicted of a crime) to the jurisdiction of the foreign state in which the crime was committed.
‘Brazil refused to ___ him to Britain’",3/20/2019,extradite,,/ˈɛkstrədʌɪt/,
